input,label,set
test/test_x/000_img.png,test/test_y/000_masks.png,testing
test/test_x/001_img.png,test/test_y/001_masks.png,testing
test/test_x/002_img.png,test/test_y/002_masks.png,testing
test/test_x/003_img.png,test/test_y/003_masks.png,testing
test/test_x/004_img.png,test/test_y/004_masks.png,testing
test/test_x/005_img.png,test/test_y/005_masks.png,testing
test/test_x/006_img.png,test/test_y/006_masks.png,testing
test/test_x/007_img.png,test/test_y/007_masks.png,testing
test/test_x/008_img.png,test/test_y/008_masks.png,testing
test/test_x/009_img.png,test/test_y/009_masks.png,testing
test/test_x/010_img.png,test/test_y/010_masks.png,testing
train/train_x/000_img.png,train/train_y/000_masks.png,training
train/train_x/001_img.png,train/train_y/001_masks.png,training
train/train_x/002_img.png,train/train_y/002_masks.png,training
train/train_x/003_img.png,train/train_y/003_masks.png,training
train/train_x/004_img.png,train/train_y/004_masks.png,training
train/train_x/005_img.png,train/train_y/005_masks.png,training
train/train_x/006_img.png,train/train_y/006_masks.png,training
train/train_x/007_img.png,train/train_y/007_masks.png,training
train/train_x/008_img.png,train/train_y/008_masks.png,training
train/train_x/009_img.png,train/train_y/009_masks.png,training
train/train_x/010_img.png,train/train_y/010_masks.png,training
train/train_x/011_img.png,train/train_y/011_masks.png,training
train/train_x/012_img.png,train/train_y/012_masks.png,training
train/train_x/013_img.png,train/train_y/013_masks.png,training
train/train_x/014_img.png,train/train_y/014_masks.png,training
train/train_x/015_img.png,train/train_y/015_masks.png,training
train/train_x/016_img.png,train/train_y/016_masks.png,training
train/train_x/017_img.png,train/train_y/017_masks.png,training
train/train_x/018_img.png,train/train_y/018_masks.png,training
train/train_x/019_img.png,train/train_y/019_masks.png,training
train/train_x/020_img.png,train/train_y/020_masks.png,training
train/train_x/021_img.png,train/train_y/021_masks.png,training
train/train_x/022_img.png,train/train_y/022_masks.png,training
train/train_x/023_img.png,train/train_y/023_masks.png,training
train/train_x/024_img.png,train/train_y/024_masks.png,training
train/train_x/025_img.png,train/train_y/025_masks.png,training
train/train_x/026_img.png,train/train_y/026_masks.png,training
train/train_x/027_img.png,train/train_y/027_masks.png,training
train/train_x/028_img.png,train/train_y/028_masks.png,training
train/train_x/029_img.png,train/train_y/029_masks.png,training
train/train_x/030_img.png,train/train_y/030_masks.png,training
train/train_x/031_img.png,train/train_y/031_masks.png,training
train/train_x/032_img.png,train/train_y/032_masks.png,training
train/train_x/033_img.png,train/train_y/033_masks.png,training
train/train_x/034_img.png,train/train_y/034_masks.png,training
train/train_x/035_img.png,train/train_y/035_masks.png,training
train/train_x/036_img.png,train/train_y/036_masks.png,training
train/train_x/037_img.png,train/train_y/037_masks.png,training
train/train_x/038_img.png,train/train_y/038_masks.png,training
train/train_x/039_img.png,train/train_y/039_masks.png,training
train/train_x/040_img.png,train/train_y/040_masks.png,training
train/train_x/041_img.png,train/train_y/041_masks.png,training
train/train_x/042_img.png,train/train_y/042_masks.png,training
train/train_x/043_img.png,train/train_y/043_masks.png,training
train/train_x/044_img.png,train/train_y/044_masks.png,training
train/train_x/045_img.png,train/train_y/045_masks.png,training
train/train_x/046_img.png,train/train_y/046_masks.png,training
train/train_x/047_img.png,train/train_y/047_masks.png,training
train/train_x/048_img.png,train/train_y/048_masks.png,training
train/train_x/049_img.png,train/train_y/049_masks.png,training
train/train_x/050_img.png,train/train_y/050_masks.png,training
train/train_x/051_img.png,train/train_y/051_masks.png,training
train/train_x/052_img.png,train/train_y/052_masks.png,training
train/train_x/053_img.png,train/train_y/053_masks.png,training
train/train_x/054_img.png,train/train_y/054_masks.png,training
train/train_x/055_img.png,train/train_y/055_masks.png,training
train/train_x/056_img.png,train/train_y/056_masks.png,training
train/train_x/057_img.png,train/train_y/057_masks.png,training
train/train_x/058_img.png,train/train_y/058_masks.png,training
train/train_x/059_img.png,train/train_y/059_masks.png,training
train/train_x/060_img.png,train/train_y/060_masks.png,training
train/train_x/061_img.png,train/train_y/061_masks.png,training
train/train_x/062_img.png,train/train_y/062_masks.png,training
train/train_x/063_img.png,train/train_y/063_masks.png,training
train/train_x/064_img.png,train/train_y/064_masks.png,training
train/train_x/065_img.png,train/train_y/065_masks.png,training
train/train_x/066_img.png,train/train_y/066_masks.png,training
train/train_x/067_img.png,train/train_y/067_masks.png,training
train/train_x/068_img.png,train/train_y/068_masks.png,training
train/train_x/069_img.png,train/train_y/069_masks.png,training
train/train_x/070_img.png,train/train_y/070_masks.png,training
train/train_x/071_img.png,train/train_y/071_masks.png,training
train/train_x/072_img.png,train/train_y/072_masks.png,training
train/train_x/073_img.png,train/train_y/073_masks.png,training
train/train_x/074_img.png,train/train_y/074_masks.png,training
train/train_x/075_img.png,train/train_y/075_masks.png,training
train/train_x/076_img.png,train/train_y/076_masks.png,training
train/train_x/077_img.png,train/train_y/077_masks.png,training
train/train_x/078_img.png,train/train_y/078_masks.png,training
train/train_x/079_img.png,train/train_y/079_masks.png,training
train/train_x/080_img.png,train/train_y/080_masks.png,training
train/train_x/081_img.png,train/train_y/081_masks.png,training
train/train_x/082_img.png,train/train_y/082_masks.png,training
train/train_x/083_img.png,train/train_y/083_masks.png,training
train/train_x/084_img.png,train/train_y/084_masks.png,training
train/train_x/085_img.png,train/train_y/085_masks.png,training
train/train_x/086_img.png,train/train_y/086_masks.png,training
train/train_x/087_img.png,train/train_y/087_masks.png,training
train/train_x/088_img.png,train/train_y/088_masks.png,training
