input,label,set
train/train_x/000_image.png,train/train_y/000_masks.zip,training
train/train_x/001_image.png,train/train_y/001_masks.zip,training
train/train_x/002_image.png,train/train_y/002_masks.zip,training
train/train_x/003_image.png,train/train_y/003_masks.zip,training
train/train_x/004_image.png,train/train_y/004_masks.zip,training
train/train_x/005_image.png,train/train_y/005_masks.zip,training
train/train_x/006_image.png,train/train_y/006_masks.zip,training
train/train_x/007_image.png,train/train_y/007_masks.zip,training
train/train_x/008_image.png,train/train_y/008_masks.zip,training
train/train_x/009_image.png,train/train_y/009_masks.zip,training
train/train_x/010_image.png,train/train_y/010_masks.zip,training
train/train_x/011_image.png,train/train_y/011_masks.zip,training
test/test_x/000_image.png,test/test_y/000_masks.zip,testing
test/test_x/001_image.png,test/test_y/001_masks.zip,testing
test/test_x/002_image.png,test/test_y/002_masks.zip,testing
test/test_x/003_image.png,test/test_y/003_masks.zip,testing
test/test_x/004_image.png,test/test_y/004_masks.zip,testing
test/test_x/005_image.png,test/test_y/005_masks.zip,testing
test/test_x/006_image.png,test/test_y/006_masks.zip,testing
test/test_x/007_image.png,test/test_y/007_masks.zip,testing
test/test_x/008_image.png,test/test_y/008_masks.zip,testing
test/test_x/009_image.png,test/test_y/009_masks.zip,testing
test/test_x/010_image.png,test/test_y/010_masks.zip,testing
test/test_x/011_image.png,test/test_y/011_masks.zip,testing
