input,label,set
images/la_011_pos_67.png,labels/la_011_pos_67.png,testing
images/la_011_pos_77.png,labels/la_011_pos_77.png,testing
images/la_011_pos_87.png,labels/la_011_pos_87.png,testing
images/la_007_pos_68.png,labels/la_007_pos_68.png,testing
images/la_007_pos_78.png,labels/la_007_pos_78.png,testing
images/la_007_pos_88.png,labels/la_007_pos_88.png,testing
images/la_026_pos_61.png,labels/la_026_pos_61.png,testing
images/la_026_pos_71.png,labels/la_026_pos_71.png,testing
images/la_026_pos_81.png,labels/la_026_pos_81.png,testing
images/la_010_pos_64.png,labels/la_010_pos_64.png,testing
images/la_023_pos_45.png,labels/la_023_pos_45.png,testing
images/la_010_pos_74.png,labels/la_010_pos_74.png,testing
images/la_023_pos_55.png,labels/la_023_pos_55.png,testing
images/la_010_pos_84.png,labels/la_010_pos_84.png,testing
images/la_023_pos_65.png,labels/la_023_pos_65.png,testing
images/la_018_pos_71.png,labels/la_018_pos_71.png,training
images/la_014_pos_57.png,labels/la_014_pos_57.png,training
images/la_018_pos_61.png,labels/la_018_pos_61.png,training
images/la_021_pos_47.png,labels/la_021_pos_47.png,training
images/la_029_pos_55.png,labels/la_029_pos_55.png,training
images/la_029_pos_75.png,labels/la_029_pos_75.png,training
images/la_017_pos_74.png,labels/la_017_pos_74.png,training
images/la_003_pos_68.png,labels/la_003_pos_68.png,training
images/la_005_pos_72.png,labels/la_005_pos_72.png,training
images/la_022_pos_84.png,labels/la_022_pos_84.png,training
images/la_030_pos_62.png,labels/la_030_pos_62.png,training
images/la_024_pos_71.png,labels/la_024_pos_71.png,training
images/la_004_pos_55.png,labels/la_004_pos_55.png,training
images/la_014_pos_67.png,labels/la_014_pos_67.png,training
images/la_004_pos_45.png,labels/la_004_pos_45.png,training
