input,label,set
image_1.png,image_mask_1.png,training
image_2.png,image_mask_2.png,training
image_3.png,image_mask_3.png,training
image_4.png,image_mask_4.png,training
image_5.png,image_mask_5.png,training
image_6.png,image_mask_6.png,training
image_7.png,image_mask_7.png,training
image_8.png,image_mask_8.png,training
image_9.png,image_mask_9.png,training
image_10.png,image_mask_10.png,training
image_11.png,image_mask_11.png,training
image_12.png,image_mask_12.png,training
image_13.png,image_mask_13.png,training
image_14.png,image_mask_14.png,training
image_15.png,image_mask_15.png,training
image_16.png,image_mask_16.png,training
image_17.png,image_mask_17.png,training
image_18.png,image_mask_18.png,training
image_19.png,image_mask_19.png,training
image_20.png,image_mask_20.png,training
image_21.png,image_mask_21.png,training
image_22.png,image_mask_22.png,training
image_23.png,image_mask_23.png,training
image_24.png,image_mask_24.png,training
image_25.png,image_mask_25.png,training
image_26.png,image_mask_26.png,training
image_27.png,image_mask_27.png,training
image_28.png,image_mask_28.png,training
image_29.png,image_mask_29.png,training
image_30.png,image_mask_30.png,training
image_31.png,image_mask_31.png,training
image_32.png,image_mask_32.png,training
image_33.png,image_mask_33.png,training
image_34.png,image_mask_34.png,training
image_35.png,image_mask_35.png,training
image_36.png,image_mask_36.png,training
image_37.png,image_mask_37.png,training
image_38.png,image_mask_38.png,training
image_39.png,image_mask_39.png,training
image_40.png,image_mask_40.png,training
image_41.png,image_mask_41.png,training
image_42.png,image_mask_42.png,training
image_43.png,image_mask_43.png,training
image_44.png,image_mask_44.png,training
image_45.png,image_mask_45.png,training
image_46.png,image_mask_46.png,training
image_47.png,image_mask_47.png,training
image_48.png,image_mask_48.png,training
image_49.png,image_mask_49.png,training
image_50.png,image_mask_50.png,training
image_51.png,image_mask_51.png,training
image_52.png,image_mask_52.png,training
image_53.png,image_mask_53.png,training
image_54.png,image_mask_54.png,training
image_55.png,image_mask_55.png,training
image_56.png,image_mask_56.png,training
image_57.png,image_mask_57.png,training
image_58.png,image_mask_58.png,training
image_59.png,image_mask_59.png,training
image_60.png,image_mask_60.png,training
image_61.png,image_mask_61.png,training
image_62.png,image_mask_62.png,training
image_63.png,image_mask_63.png,training
image_64.png,image_mask_64.png,training
image_65.png,image_mask_65.png,training
image_66.png,image_mask_66.png,training
image_67.png,image_mask_67.png,training
image_68.png,image_mask_68.png,training
image_69.png,image_mask_69.png,training
image_70.png,image_mask_70.png,training
image_71.png,image_mask_71.png,training
image_72.png,image_mask_72.png,training
image_73.png,image_mask_73.png,training
image_74.png,image_mask_74.png,training
image_75.png,image_mask_75.png,training
image_76.png,image_mask_76.png,training
image_77.png,image_mask_77.png,training
image_78.png,image_mask_78.png,training
image_79.png,image_mask_79.png,training
image_80.png,image_mask_80.png,training
image_81.png,image_mask_81.png,training
image_82.png,image_mask_82.png,training
image_83.png,image_mask_83.png,training
image_84.png,image_mask_84.png,training
image_85.png,image_mask_85.png,training
image_86.png,image_mask_86.png,training
image_87.png,image_mask_87.png,training
image_88.png,image_mask_88.png,training
image_89.png,image_mask_89.png,training
image_90.png,image_mask_90.png,training
image_91.png,image_mask_91.png,testing
image_92.png,image_mask_92.png,testing
image_93.png,image_mask_93.png,testing
image_94.png,image_mask_94.png,testing
image_95.png,image_mask_95.png,testing
image_96.png,image_mask_96.png,testing
image_97.png,image_mask_97.png,testing
image_98.png,image_mask_98.png,testing
image_99.png,image_mask_99.png,testing
image_100.png,image_mask_100.png,testing
