input,label,set
la_003_.png,la_003_mask.png,training
la_004_.png,la_004_mask.png,training
la_005_.png,la_005_mask.png,training
la_007_.png,la_007_mask.png,training
la_009_.png,la_009_mask.png,training
la_010_.png,la_010_mask.png,training
la_011_.png,la_011_mask.png,training
la_014_.png,la_014_mask.png,training
la_016_.png,la_016_mask.png,training
la_017_.png,la_017_mask.png,training
la_018_.png,la_018_mask.png,training
la_019_.png,la_019_mask.png,training
la_020_.png,la_020_mask.png,training
la_021_.png,la_021_mask.png,training
la_022_.png,la_022_mask.png,training
la_023_.png,la_023_mask.png,testing
la_024_.png,la_024_mask.png,testing
la_026_.png,la_026_mask.png,testing
la_029_.png,la_029_mask.png,testing
la_030_.png,la_030_mask.png,testing
