input,label,set
la_007_1.png,la_007_mask_1.png,testing
la_007_2.png,la_007_mask_2.png,testing
la_007_3.png,la_007_mask_3.png,testing
la_010_1.png,la_010_mask_1.png,testing
la_010_2.png,la_010_mask_2.png,testing
la_010_3.png,la_010_mask_3.png,testing
la_011_1.png,la_011_mask_1.png,testing
la_011_2.png,la_011_mask_2.png,testing
la_011_3.png,la_011_mask_3.png,testing
la_023_1.png,la_023_mask_1.png,testing
la_023_2.png,la_023_mask_2.png,testing
la_023_3.png,la_023_mask_3.png,testing
la_026_1.png,la_026_mask_1.png,testing
la_026_2.png,la_026_mask_2.png,testing
la_026_3.png,la_026_mask_3.png,testing
la_003_1.png,la_003_mask_1.png,training
la_003_2.png,la_003_mask_2.png,training
la_003_3.png,la_003_mask_3.png,training
la_004_1.png,la_004_mask_1.png,training
la_004_2.png,la_004_mask_2.png,training
la_004_3.png,la_004_mask_3.png,training
la_005_1.png,la_005_mask_1.png,training
la_005_2.png,la_005_mask_2.png,training
la_005_3.png,la_005_mask_3.png,training
la_009_1.png,la_009_mask_1.png,training
la_009_2.png,la_009_mask_2.png,training
la_009_3.png,la_009_mask_3.png,training
la_014_1.png,la_014_mask_1.png,training
la_014_2.png,la_014_mask_2.png,training
la_014_3.png,la_014_mask_3.png,training
la_016_1.png,la_016_mask_1.png,training
la_016_2.png,la_016_mask_2.png,training
la_016_3.png,la_016_mask_3.png,training
la_017_1.png,la_017_mask_1.png,training
la_017_2.png,la_017_mask_2.png,training
la_017_3.png,la_017_mask_3.png,training
la_018_1.png,la_018_mask_1.png,training
la_018_2.png,la_018_mask_2.png,training
la_018_3.png,la_018_mask_3.png,training
la_019_1.png,la_019_mask_1.png,training
