input,label,set
test/test_x/la_011_pos_67.png,test/test_y/la_011_pos_67.png,testing
test/test_x/la_011_pos_77.png,test/test_y/la_011_pos_77.png,testing
test/test_x/la_011_pos_87.png,test/test_y/la_011_pos_87.png,testing
test/test_x/la_007_pos_68.png,test/test_y/la_007_pos_68.png,testing
test/test_x/la_007_pos_78.png,test/test_y/la_007_pos_78.png,testing
test/test_x/la_007_pos_88.png,test/test_y/la_007_pos_88.png,testing
test/test_x/la_026_pos_61.png,test/test_y/la_026_pos_61.png,testing
test/test_x/la_026_pos_71.png,test/test_y/la_026_pos_71.png,testing
test/test_x/la_026_pos_81.png,test/test_y/la_026_pos_81.png,testing
test/test_x/la_010_pos_64.png,test/test_y/la_010_pos_64.png,testing
test/test_x/la_023_pos_45.png,test/test_y/la_023_pos_45.png,testing
test/test_x/la_010_pos_74.png,test/test_y/la_010_pos_74.png,testing
test/test_x/la_023_pos_55.png,test/test_y/la_023_pos_55.png,testing
test/test_x/la_010_pos_84.png,test/test_y/la_010_pos_84.png,testing
test/test_x/la_023_pos_65.png,test/test_y/la_023_pos_65.png,testing
train/train_x/la_018_pos_71.png,train/train_y/la_018_pos_71.png,training
train/train_x/la_014_pos_57.png,train/train_y/la_014_pos_57.png,training
train/train_x/la_018_pos_61.png,train/train_y/la_018_pos_61.png,training
train/train_x/la_021_pos_47.png,train/train_y/la_021_pos_47.png,training
train/train_x/la_029_pos_55.png,train/train_y/la_029_pos_55.png,training
train/train_x/la_029_pos_75.png,train/train_y/la_029_pos_75.png,training
train/train_x/la_017_pos_74.png,train/train_y/la_017_pos_74.png,training
train/train_x/la_003_pos_68.png,train/train_y/la_003_pos_68.png,training
train/train_x/la_005_pos_72.png,train/train_y/la_005_pos_72.png,training
train/train_x/la_022_pos_84.png,train/train_y/la_022_pos_84.png,training
